"focal_GC" "sister_GC" "delta_GC" "directionGC" "related_GC3" "focal_GC3" "change_in_dNdS" "focal_dS" "related_dS" "focal_dNdS" "related_dNdS" "deltaGC3" "focal_branch_length" "sister_branch_length" "focal_CUB" "sister_CUB" "focal_genome_size" "sister_genome_size" "genome_size_ratio" "focal_genome_size_checkM" "sister_genome_size_checkM" "genome_size_ratio_checkM" "focal_coding_density" "sister_coding_density" "focal_pseudogenes" "sister_pseudogenes" "focal_IGR_length" "sister_IGR_length" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Rhizobiale_jump20" 41.84 35.67 6.17 "1" NA NA NA NA NA NA NA NA 0.013 0.016 0.03 0.06 1.6 1.51 1.06 1.62 1.52 1.07 81 80 2.1 5.3 142 134 NA "aerobic|obligate aerobic" "host" "host|host" "0"
"Rhizobiale_jump21" 64.81 61.35 3.46 "1" NA 0.636 NA 0.509 NA 0.032 NA NA 0.016 0.02 0.35 0.62 4.8 4.52 1.06 4.84 4.59 1.05 89 89 1.8 27.5 98 90 "NA|NA" "facultative" "NA|NA" "water" "0"
"Rhizobiale_jump22" 68.8 64.61 4.19 "1" NA NA NA NA NA NA NA NA NA NA 0.47 0.38 4.87 5.13 0.95 6.01 5.21 1.15 84.21 89.24 27.6 1.7 132 144 NA NA NA NA "0"
"Rhizobiale_jump23" 63 67.47 -4.47 "-1" NA NA NA NA NA NA NA NA 0.008 0.008 0.8 0.6 5.23 4.09 1.28 5.25 4.4 1.19 88 88 1.5 3.2 110 103 "aerobic" "obligate aerobic|NA" "host" "bioreactor/digester|NA" "0"
"Rhodobacterale_jump1" 57.19 64.51 -7.32000000000001 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 3.4 4.24 0.8 3.98 4.3 0.93 89 88 NA NA NA NA NA NA NA NA "0"
"Rhodobacterale_jump2" 50.43 63.24 -12.81 "-1" NA NA NA NA NA NA NA NA 0.08 0.07 0.6 0.69 2.99 3.14 0.95 3.01 3.32 0.91 91.79 90.44 0.8 0.7 112 117 "aerobic|obligate aerobic" "NA|NA|NA|NA|aerobic|NA|NA|NA|facultative|NA" "water|water" "water|NA|NA|NA|water|NA|NA|NA|water|NA" "0"
"Rhodobacterale_jump3" 55.68 63.39 -7.71 "-1" NA NA NA NA NA NA NA NA 0.055 0.044 1.28 0.9 3.11 3.04 1.02 3.13 3.18 0.98 89 91 1.2 0.8 83 85 "obligate aerobic" "NA|NA|NA|aerobic|NA" "sediment" "NA|NA|NA|water|NA" "0"
"Rhodobacterale_jump4" 59.79 67.41 -7.62 "-1" NA 0.608 NA 0.605 NA 0.042 NA NA NA NA 1.14 1.17 4.32 3 1.44 4.33 3.26 1.33 88.5 90.23 2.2 3.7 154 116 "NA|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA" "facultative|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic" "NA|water|NA|water|NA|soil|NA|water|NA" "wastewater|sediment|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|soil|soil|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|water|NA|water" "0"
"Rhodobacterale_jump5" 44.91 55.86 -10.95 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 3.45 3.66 0.94 3.47 3.9 0.89 90 87 0.4 NA NA NA "aerobic|obligate aerobic" NA "water|water" NA "0"
"Rhodobacterale_jump6" 41.44 56.12 -14.68 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 2.72 3.5 0.78 2.91 3.57 0.82 91 90 NA NA NA NA "NA|NA" NA "NA|NA" NA "0"
